date,weekday,is_trading_day,reason,name
2020-05-17,Sunday,false,weekend,주말
2020-05-23,Saturday,false,weekend,주말
2020-05-24,Sunday,false,weekend,주말
2020-05-30,Saturday,false,weekend,주말
2020-05-31,Sunday,false,weekend,주말
2020-06-06,Saturday,false,weekend,주말
2020-06-07,Sunday,false,weekend,주말
2020-06-13,Saturday,false,weekend,주말
2020-06-14,Sunday,false,weekend,주말
2020-06-20,Saturday,false,weekend,주말
2020-06-21,Sunday,false,weekend,주말
2020-06-27,Saturday,false,weekend,주말
2020-06-28,Sunday,false,weekend,주말
2020-07-04,Saturday,false,weekend,주말
2020-07-05,Sunday,false,weekend,주말
2020-07-11,Saturday,false,weekend,주말
2020-07-12,Sunday,false,weekend,주말
2020-07-18,Saturday,false,weekend,주말
2020-07-19,Sunday,false,weekend,주말
2020-07-25,Saturday,false,weekend,주말
2020-07-26,Sunday,false,weekend,주말
2020-08-01,Saturday,false,weekend,주말
2020-08-02,Sunday,false,weekend,주말
2020-08-08,Saturday,false,weekend,주말
2020-08-09,Sunday,false,weekend,주말
2020-08-15,Saturday,false,weekend,주말
2020-08-16,Sunday,false,weekend,주말
2020-08-17,Monday,false,holiday,임시공휴일
2020-08-22,Saturday,false,weekend,주말
2020-08-23,Sunday,false,weekend,주말
2020-08-29,Saturday,false,weekend,주말
2020-08-30,Sunday,false,weekend,주말
2020-09-05,Saturday,false,weekend,주말
2020-09-06,Sunday,false,weekend,주말
2020-09-12,Saturday,false,weekend,주말
2020-09-13,Sunday,false,weekend,주말
2020-09-19,Saturday,false,weekend,주말
2020-09-20,Sunday,false,weekend,주말
2020-09-26,Saturday,false,weekend,주말
2020-09-27,Sunday,false,weekend,주말
2020-09-30,Wednesday,false,holiday,추석
2020-10-01,Thursday,false,holiday,추석
2020-10-02,Friday,false,holiday,추석
2020-10-03,Saturday,false,weekend,주말
2020-10-04,Sunday,false,weekend,주말
2020-10-09,Friday,false,holiday,한글날
2020-10-10,Saturday,false,weekend,주말
2020-10-11,Sunday,false,weekend,주말
2020-10-17,Saturday,false,weekend,주말
2020-10-18,Sunday,false,weekend,주말
2020-10-24,Saturday,false,weekend,주말
2020-10-25,Sunday,false,weekend,주말
2020-10-31,Saturday,false,weekend,주말
2020-11-01,Sunday,false,weekend,주말
2020-11-07,Saturday,false,weekend,주말
2020-11-08,Sunday,false,weekend,주말
2020-11-14,Saturday,false,weekend,주말
2020-11-15,Sunday,false,weekend,주말
2020-11-21,Saturday,false,weekend,주말
2020-11-22,Sunday,false,weekend,주말
2020-11-28,Saturday,false,weekend,주말
2020-11-29,Sunday,false,weekend,주말
2020-12-05,Saturday,false,weekend,주말
2020-12-06,Sunday,false,weekend,주말
2020-12-12,Saturday,false,weekend,주말
2020-12-13,Sunday,false,weekend,주말
2020-12-19,Saturday,false,weekend,주말
2020-12-20,Sunday,false,weekend,주말
2020-12-25,Friday,false,holiday,크리스마스
2020-12-26,Saturday,false,weekend,주말
2020-12-27,Sunday,false,weekend,주말
2020-12-31,Thursday,false,holiday,연말 증시 휴장일
2021-01-01,Friday,false,holiday,새해
2021-01-02,Saturday,false,weekend,주말
2021-01-03,Sunday,false,weekend,주말
2021-01-09,Saturday,false,weekend,주말
2021-01-10,Sunday,false,weekend,주말
2021-01-16,Saturday,false,weekend,주말
2021-01-17,Sunday,false,weekend,주말
2021-01-23,Saturday,false,weekend,주말
2021-01-24,Sunday,false,weekend,주말
2021-01-30,Saturday,false,weekend,주말
2021-01-31,Sunday,false,weekend,주말
2021-02-06,Saturday,false,weekend,주말
2021-02-07,Sunday,false,weekend,주말
2021-02-11,Thursday,false,holiday,설날
2021-02-12,Friday,false,holiday,설날
2021-02-13,Saturday,false,weekend,주말
2021-02-14,Sunday,false,weekend,주말
2021-02-20,Saturday,false,weekend,주말
2021-02-21,Sunday,false,weekend,주말
2021-02-27,Saturday,false,weekend,주말
